name,date_of_birth,height,weight
Charlie Taylor,1993-09-18,183.0,70.0
Alex Nicholls,1987-12-09,178.0,70.0
Lee Erwin,1994-03-19,188.0,79.0
Marley Watkins,1990-10-17,178.0,65.0
Michael Hector,1992-07-19,193.0,82.0
Aaron Tshibola,1995-01-02,190.0,78.0
Ryan Kent,1996-11-11,175.0,65.0
Conor Grant,1995-04-18,184.0,80.0
Sam Winnall,1991-01-19,175.0,72.0
George Moncur,1993-08-18,175.0,63.0
Dominic Samuel,1994-04-01,182.0,89.0
Ryan Flynn,1988-09-04,171.0,60.0
Harry Forrester,1991-01-02,176.0,71.0
Vitālijs Maksimenko,1990-12-08,186.0,83.0
Scott Cuthbert,1987-06-15,188.0,89.0
Shaleum Logan,1988-01-29,185.0,79.0
Steve Simonsen,1979-04-03,188.0,79.0
Robert Milsom,1987-01-02,180.0,72.0
Danny Cadamarteri,1979-10-12,175.0,86.0
Chris Porter,1983-12-12,185.0,83.0
Sam Foley,1986-10-17,183.0,74.0
Wesley Foderingham,1991-01-14,185.0,75.0
Mark Howard,1986-09-21,183.0,76.0
Jordan Turnbull,1994-10-30,185.0,73.0
Michael O'Halloran,1991-01-06,188.0,79.0
James Wesolowski,1987-08-25,172.0,75.0
Jonathan Chiedozie Obika,1990-09-12,182.0,76.0
Chris Humphrey,1989-03-04,181.0,73.0
Thorsten Stuckmann,1981-03-17,198.0,96.0
Callum McFadzean,1994-01-16,181.0,75.0
Jermaine Hylton,1993-06-28,176.0,70.0
George Long,1993-11-05,193.0,91.0
Darryl Westlake,1991-03-01,175.0,69.0
Conor Washington,1992-05-18,178.0,74.0
Armand Gnanduillet,1992-02-13,193.0,88.0
Danny Swanson,1986-12-28,168.0,59.0
Steve Lovell,1980-06-12,180.0,73.0
Jack Baldwin,1993-06-30,185.0,69.0
Gary MacKenzie,1985-10-07,191.0,86.0
Gboly Ariyibi,1995-01-18,183.0,72.0
Simon Ferry,1988-01-11,175.0,69.0
Farid El Alagui,1985-08-28,185.0,75.0
Stefan Scougall,1992-12-07,170.0,69.0
Jason Holt,1993-02-19,164.0,70.0
Paul Murray,1976-08-31,175.0,65.0
Colin Nish,1981-03-07,191.0,80.0
Raffaele De Vita,1987-09-23,180.0,77.0
Sean O'Hanlon,1983-01-02,185.0,78.0
David Buchanan,1983-05-06,173.0,71.0
Mark McNulty,1992-09-14,180.0,82.0
Iain Turner,1984-01-26,193.0,88.0
Peter Hartley,1988-04-03,187.0,92.0
Evan Horwood,1986-03-10,183.0,74.0
Rob Jones,1979-11-03,200.0,77.0
Vladimír Weiss,1989-11-30,173.0,71.0
Christian Bjørnshøj Poulsen,1980-02-28,183.0,76.0
Gunnar Nielsen,1986-10-07,191.0,85.0
Khalid Boulahrouz,1981-12-28,183.0,80.0
Andreas Johansson,1978-07-05,181.0,80.0
Danny Wilson,1991-12-27,187.0,79.0
Thomas Gravesen,1976-11-03,178.0,74.0
Bjorn Sandro Runstrom,1984-01-03,186.0,77.0
DaMarcus Beasley,1982-05-24,173.0,66.0
Stefan Wessels,1979-02-28,189.0,84.0
